Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
introduction,"Hello, my name is Marite. I am your nurse. What's your name?",What's your name?,"Hello, I’m Mrs. Stewards. Helen Stewards. Call me Helen. ",The beginning of the anamnesis interview was very good - it is important to know the name of the person in front of you.,The nurse needs to know the name of the patient. So every anamnesis conversation starts by asking for the person's name.,1,HappyOkay,,introduction,introduction,"Hallo, mein Name ist Meeres. Ich bin deine Krankenschwester. Wie heißen Sie?",Wie heißen Sie?,"Hallo, ich bin Frau Stewards. Helen Stewards. Nenn mich Helen.","Der Beginn des Anamnesis -Interviews war sehr gut - es ist wichtig, den Namen der Person vor Ihnen zu kennen.","Die Krankenschwester muss den Namen des Patienten kennen. So beginnt jedes Anamnesis -Gespräch damit, nach dem Namen der Person zu fragen.","Hej, jag heter Marite. Jag är din sjuksköterska. Vad heter du?",Vad heter du?,"Hej, jag är fru Stewards. Helen Stewards. Ring mig Helen.",Början av Anamnese -intervjun var mycket bra - det är viktigt att veta namnet på personen framför dig.,Sjuksköterskan måste känna till patientens namn. Så varje anames -konversation börjar med att be om personens namn.,"Sveiki, mano vardas yra Maritas. Aš esu tavo slaugytoja. Koks tavo vardas?",Koks tavo vardas?,"Sveiki, aš esu ponia Stewards. HELEN STENDS. Vadink mane Helen.",Anamnezės interviu pradžia buvo labai gera - svarbu žinoti priešais jus esančio asmens vardą.,Slaugytoja turi žinoti paciento vardą. Taigi kiekvienas anamnezės pokalbis prasideda prašant asmens vardo.,"Sveiki, mani sauc Marite. Es esmu jūsu medmāsa. Kā tevi sauc?",Kā tevi sauc?,"Sveiki, es esmu Stjuartu kundze. Helēna Stjuarti. Sauc mani par Helēnu.",Anamnēzes intervijas sākums bija ļoti labs - ir svarīgi zināt priekšā esošās personas vārdu.,Medmāsai jāzina pacienta vārds. Tātad katra anamnēzes saruna sākas ar personas vārdu prasīšanu.
date_of_birth,What is your date of birth? ,What is your date of birth? ,"I was born on February 1, 1987. I am 35. ","Very good, it is important to know how old the patient is in order to additionally check the identity.","In order to verify the identity of the patient, it is important to also ask for the patient's birthday - please do not forget!",0,NeutralLegBehind,,introduction,date_of_birth,Was ist Ihr Geburtsdatum?,Was ist Ihr Geburtsdatum?,Ich wurde am 1. Februar 1987 geboren. Ich bin 35.,"Sehr gut, es ist wichtig zu wissen, wie alt der Patient ist, um zusätzlich die Identität zu überprüfen.","Um die Identität des Patienten zu überprüfen, ist es wichtig, auch nach dem Geburtstag des Patienten zu fragen - bitte nicht vergessen!",Vad är ditt födelsedatum?,Vad är ditt födelsedatum?,Jag föddes den 1 februari 1987. Jag är 35.,"Mycket bra, det är viktigt att veta hur gammal patienten är för att dessutom kontrollera identiteten.",För att verifiera patientens identitet är det viktigt att också be om patientens födelsedag - glöm inte!,Kokia tavo gimimo data?,Kokia tavo gimimo data?,Aš gimiau 1987 m. Vasario 1 d. Man yra 35 metai.,"Labai gerai, svarbu žinoti, kiek pacientui yra metų, kad būtų galima papildomai patikrinti tapatybę.","Norint patikrinti paciento tapatybę, taip pat svarbu paprašyti paciento gimtadienio - nepamirškite!",Kāds ir tavs dzimšanas datums?,Kāds ir tavs dzimšanas datums?,Esmu dzimis 1987. gada 1. februārī. Man ir 35 gadi.,"Ļoti labi, ir svarīgi zināt, cik vecs pacients ir, lai papildus pārbaudītu identitāti.","Lai pārbaudītu pacienta identitāti, ir svarīgi arī lūgt pacienta dzimšanas dienu - lūdzu, neaizmirstiet!"
condition,How are you doing?,How are you doing?,"Thank you. Not good, to be honest.","This question is the most important question, as it serves to prepare the diagnosis and, depending on the answer, you can or must act very quickly. ","You forgot to ask the most important question. Unfortunately, without this information you cannot act correctly.",0,NeutralLegBehind2,,general,condition,Wie geht es Ihnen?,Wie geht es Ihnen?,"Danke dir. Nicht gut, um ehrlich zu sein.","Diese Frage ist die wichtigste Frage, da sie die Diagnose vorbereitet und je nach Antwort sehr schnell handeln können oder müssen.","Sie haben vergessen, die wichtigste Frage zu stellen. Leider können Sie ohne diese Informationen nicht richtig handeln.",Hur mår du?,Hur mår du?,"Tack. Inte bra, för att vara ärlig.","Denna fråga är den viktigaste frågan, eftersom den tjänar till att förbereda diagnosen och beroende på svaret kan du eller måste agera mycket snabbt.","Du glömde att ställa den viktigaste frågan. Tyvärr, utan denna information kan du inte agera korrekt.",Kaip tau sekasi?,Kaip tau sekasi?,"Ačiū. Nelabai gerai, sąžiningai.","Šis klausimas yra svarbiausias klausimas, nes jis padeda paruošti diagnozę ir, atsižvelgiant į atsakymą, galite arba turite veikti labai greitai.","Pamiršote užduoti svarbiausią klausimą. Deja, be šios informacijos negalite elgtis teisingai.",Kā tev iet?,Kā tev iet?,"Paldies. Nav labi, godīgi sakot.","Šis jautājums ir vissvarīgākais jautājums, jo tas kalpo diagnozes sagatavošanai, un atkarībā no atbildes jūs varat vai ir jārīkojas ļoti ātri.",Jūs aizmirsāt uzdot vissvarīgāko jautājumu. Diemžēl bez šīs informācijas jūs nevarat rīkoties pareizi.
condition_specific,How do you feel? What exactly do you feel? ,How do you feel?,I feel very weak and vomited thrice. Do you have water? I'd have some.  ,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis.","You forgot to ask the most important question. Unfortunately, without this information you cannot act correctly.",0,NeutralThinking,condition,general,condition_followup,Wie fühlen Sie sich? Was genau das fühlst du?,Wie fühlen Sie sich?,Ich fühle mich sehr schwach und erbrochen dreimal. Haben Sie Wasser? Ich hätte einige.,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose.","Sie haben vergessen, die wichtigste Frage zu stellen. Leider können Sie ohne diese Informationen nicht richtig handeln.",Hur mår du? Vad känner du exakt?,Hur mår du?,Jag känner mig väldigt svag och kastade tre gånger. Har du vatten? Jag skulle ha några.,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos.,"Du glömde att ställa den viktigaste frågan. Tyvärr, utan denna information kan du inte agera korrekt.",Kaip tu jautiesi? Ką tiksliai jauti?,Kaip tu jautiesi?,Jaučiuosi labai silpna ir vėmusi tris kartus. Ar turite vandens? Aš turėčiau.,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę.","Pamiršote užduoti svarbiausią klausimą. Deja, be šios informacijos negalite elgtis teisingai.",Kā tu jūties? Ko tieši jūs jūtaties?,Kā tu jūties?,Es jūtos ļoti vāja un trīsreiz vemju. Vai jums ir ūdens? Man būtu daži.,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi.",Jūs aizmirsāt uzdot vissvarīgāko jautājumu. Diemžēl bez šīs informācijas jūs nevarat rīkoties pareizi.
condition_time,How long have you felt like this? ,How long have you felt like this? ,Since yesterday... Maybe. Give or take... ,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis.","You forgot to ask the most important question. Unfortunately, without this information you cannot act correctly.",0,NeutralLegBehind,condition,general,condition_time,Wie lange hast du dich schon so gefühlt?,Wie lange hast du dich schon so gefühlt?,Seit gestern ... vielleicht. Geben oder nehmen...,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose.","Sie haben vergessen, die wichtigste Frage zu stellen. Leider können Sie ohne diese Informationen nicht richtig handeln.",Hur länge har du känt så här?,Hur länge har du känt så här?,Sedan igår ... kanske. Ge eller ta...,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos.,"Du glömde att ställa den viktigaste frågan. Tyvärr, utan denna information kan du inte agera korrekt.",Kiek laiko taip jautėtės?,Kiek laiko taip jautėtės?,Nuo vakar ... galbūt. Duok ar imk ...,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę.","Pamiršote užduoti svarbiausią klausimą. Deja, be šios informacijos negalite elgtis teisingai.",Cik ilgi tu esi šāds?,Cik ilgi tu esi šāds?,Kopš vakardienas ... varbūt. Dot vai ņemt ...,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi.",Jūs aizmirsāt uzdot vissvarīgāko jautājumu. Diemžēl bez šīs informācijas jūs nevarat rīkoties pareizi.
other_complaints,Do you have any other complaints?,Any other complaints?,"No, all's good, except for... I feel so hungry and... that dizziness all the time, I don't know what's going on!","It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis.","You first ask about other complaints before you even record the patient's current condition. Unfortunately, this is not the correct order.",0,NeutralLegBehind3,,general,other_comaplaints,Haben Sie andere Beschwerden?,Irgendwelche anderen Beschwerden?,"Nein, alles ist gut, außer ... Ich fühle mich so hungrig und ... dieser Schwindel die ganze Zeit, ich weiß nicht, was los ist!","Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose.","Sie fragen zuerst nach anderen Beschwerden, bevor Sie den aktuellen Zustand des Patienten überhaupt aufzeichnen. Leider ist dies nicht die richtige Reihenfolge.",Har du några andra klagomål?,Några andra klagomål?,"Nej, allt är bra, förutom ... Jag känner mig så hungrig och ... den yrsel hela tiden, jag vet inte vad som händer!",Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos.,Du frågar först om andra klagomål innan du ens registrerar patientens nuvarande tillstånd. Tyvärr är detta inte rätt ordning.,Ar turite kitų skundų?,Ar yra kitų skundų?,"Ne, viskas gerai, išskyrus ... Aš visą laiką jaučiuosi toks alkanas ir ... tą galvos svaigimą, aš nežinau, kas vyksta!","Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę.","Pirmiausia klausiate apie kitus skundus, prieš net įrašydami dabartinę paciento būklę. Deja, tai nėra teisinga tvarka.",Vai jums ir kādas citas sūdzības?,Vai ir kādas citas sūdzības?,"Nē, viss ir labi, izņemot ... Es visu laiku jūtos tik izsalcis un ... tā reibonis, es nezinu, kas notiek!","Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi.","Vispirms jautājat par citām sūdzībām, pirms pat reģistrējat pacienta pašreizējo stāvokli. Diemžēl tā nav pareizā kārtība."
chronic_disease,What chronic diseases are you suffering from? ,Chronic diseases?,"Yes, I have diabetes. ","It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis. Furthermore, it is important to include the expertise of the patient.",This question is important because it may give you clues about the acute illness. Please do not forget!,0,NeutralThinking,,medical_history,has_diabetes,Unter welchen chronischen Krankheiten leiden Sie?,Chronische Krankheit?,"Ja, ich habe Diabetes.","Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose. Darüber hinaus ist es wichtig, das Fachwissen des Patienten einzubeziehen.","Diese Frage ist wichtig, da sie Ihnen Hinweise auf die akute Krankheit geben kann. Bitte vergiss nicht!",Vilka kroniska sjukdomar lider du av?,Kroniska sjukdomar?,"Ja, jag har diabetes.",Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos. Dessutom är det viktigt att inkludera patientens expertis.,Denna fråga är viktig eftersom den kan ge dig ledtrådar om den akuta sjukdomen. Snälla glöm inte!,Kokios lėtinės ligos kenčia?,Lėtinės ligos?,"Taip, aš sergu cukriniu diabetu.","Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę. Be to, svarbu įtraukti paciento kompetenciją.","Šis klausimas yra svarbus, nes jis gali suteikti jums užuominų apie ūmią ligą. Prašau nepamiršk!",No kādām hroniskām slimībām jūs ciešat?,Hroniskas slimības?,"Jā, man ir diabēts.","Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi. Turklāt ir svarīgi iekļaut pacienta zināšanas.","Šis jautājums ir svarīgs, jo tas var dot jums norādes par akūto slimību. Lūdzu, neaizmirstiet!"
hospitalization,Have you been to the Emergency room or hospitalised during the past 12 monts?,Have you been hospitalized recently?,"Yes. It was a while ago... Two months, maybe.","For the initial interview with a patient with the symptoms described, it is not a priority to know whether the patient has been under medical treatment in the last 12 months. In order to come to a faster treatment, it is best to omit this question. ",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,medical_history,recently_hospitalized,Waren Sie in der Notaufnahme oder in den letzten 12 Monts ins Krankenhaus eingeliefert?,Wurden Sie kürzlich ins Krankenhaus eingeliefert?,Ja. Es war eine Weile her ... vielleicht zwei Monate.,"Für das erste Interview mit einem Patienten mit den beschriebenen Symptomen ist es keine Priorität zu wissen, ob der Patient in den letzten 12 Monaten medizinisch behandelt wurde. Um zu einer schnelleren Behandlung zu kommen, ist es am besten, diese Frage wegzulassen.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du varit på akutmottagningen eller inlagd på sjukhus under de senaste 12 Monts?,Har du varit på sjukhus nyligen?,"Ja. Det var för ett tag sedan ... två månader, kanske.",För den första intervjun med en patient med de beskrivna symtomen är det inte en prioritering att veta om patienten har varit under medicinsk behandling under de senaste 12 månaderna. För att komma till en snabbare behandling är det bäst att utelämna denna fråga.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar per pastaruosius 12 montų buvote skubios pagalbos skyriuje ar paguldytas į ligoninę?,Ar neseniai buvote paguldytas į ligoninę?,Taip. Tai buvo prieš kurį laiką ... galbūt du mėnesiai.,"Pradiniam pokalbiui su pacientu, kuriam aprašyti simptomai, nėra prioritetas žinoti, ar pacientas gydėsi per pastaruosius 12 mėnesių. Norint greičiau elgtis, geriausia praleisti šį klausimą.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai esat bijis neatliekamās palīdzības telpā vai hospitalizēts pēdējo 12 montu laikā?,Vai nesen esat hospitalizēts?,Jā. Tas bija pirms kāda laika ... varbūt divi mēneši.,"Sākotnējā intervijā ar pacientu ar aprakstītajiem simptomiem nav prioritāte zināt, vai pacients pēdējos 12 mēnešos ir ārstējies. Lai ātrāk ārstētos, vislabāk ir izlaist šo jautājumu.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
hospitalization_reasion,Why have you been hospitalised?,Have you had surgery recently?,"My blood pressure was too high. I felt so bad, those days...","For the initial interview with a patient with the symptoms described, it is not a priority to know whether the patient has been hospitalised in the last 12 months. In order to come to a faster treatment, it is best to omit this question. ",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind4,hospitalization,medical_history,hospitalized_for_blood_pressure,Warum wurden Sie ins Krankenhaus eingeliefert?,Haben Sie in letzter Zeit eine Operation geführt?,"Mein Blutdruck war zu hoch. Ich fühlte mich so schlecht, diese Tage ...","Für das erste Interview mit einem Patienten mit den beschriebenen Symptomen ist es keine Priorität zu wissen, ob der Patient in den letzten 12 Monaten ins Krankenhaus eingeliefert wurde. Um zu einer schnelleren Behandlung zu kommen, ist es am besten, diese Frage wegzulassen.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Varför har du legat på sjukhus?,Har du haft operation nyligen?,"Mitt blodtryck var för högt. Jag kände mig så dålig, de dagarna ...",För den första intervjun med en patient med de beskrivna symtomen är det inte en prioritering att veta om patienten har lagt in på sjukhus under de senaste 12 månaderna. För att komma till en snabbare behandling är det bäst att utelämna denna fråga.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kodėl buvote paguldyti į ligoninę?,Ar neseniai jums buvo atlikta operacija?,"Mano kraujospūdis buvo per didelis. Jaučiausi taip blogai, tomis dienomis ...","Pradiniam pokalbiui su pacientu, kuriam aprašyti simptomai, nėra prioritetas žinoti, ar pacientas buvo paguldytas į ligoninę per pastaruosius 12 mėnesių. Norint greičiau elgtis, geriausia praleisti šį klausimą.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Kāpēc tu esi hospitalizēts?,Vai jums nesen ir bijusi operācija?,"Mans asinsspiediens bija pārāk augsts. Es jutos tik slikti, tajās dienās ...","Sākotnējā intervijā ar pacientu ar aprakstītajiem simptomiem nav prioritāte zināt, vai pacients ir hospitalizēts pēdējos 12 mēnešos. Lai ātrāk ārstētos, vislabāk ir izlaist šo jautājumu.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
surgery,Have you had any surgical procedures in the past few years?,,"No, I haven't.","For the initial consultation with a patient with the symptoms described, it is not a priority to know whether the patient has had surgery in the last 12 months. In order to come to a faster treatment, it is best to omit this question. ",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,medical_history,,Haben Sie in den letzten Jahren chirurgische Eingriffe gehabt?,Welche Art von Diabetes?,"Nein, habe ich nicht.","Für die erste Konsultation mit einem Patienten mit den beschriebenen Symptomen ist es keine Priorität zu wissen, ob der Patient in den letzten 12 Monaten operiert wurde. Um zu einer schnelleren Behandlung zu kommen, ist es am besten, diese Frage wegzulassen.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du haft några kirurgiska ingrepp under de senaste åren?,Vilken typ av diabetes?,"Nej, det har jag inte.",För det första samrådet med en patient med de beskrivna symtomen är det inte en prioritering att veta om patienten har genomgått operation under de senaste 12 månaderna. För att komma till en snabbare behandling är det bäst att utelämna denna fråga.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar per pastaruosius kelerius metus atlikote kokių nors chirurginių procedūrų?,Kokio tipo diabetas?,"Ne, aš ne.","Pradinėms konsultacijoms su pacientu, kuriam aprašyti simptomai, nėra prioritetas žinoti, ar pacientui buvo atlikta operacija per pastaruosius 12 mėnesių. Norint greičiau elgtis, geriausia praleisti šį klausimą.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai jums pēdējos gados ir bijušas kādas ķirurģiskas procedūras?,Kāda veida diabēts?,"Nē, es neesmu.","Sākotnējai konsultācijai ar pacientu ar aprakstītajiem simptomiem nav prioritāte zināt, vai pacientam ir veikta operācija pēdējos 12 mēnešos. Lai ātrāk ārstētos, vislabāk ir izlaist šo jautājumu.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
